 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.25178E+01       0.29999E-02       0.10164E+00       0.72068E+01       0.18020E+00       0.13787E+01
      0      1       0.16406E+01      -0.35606E-02      -0.34353E+00      -0.42635E+01       0.51178E-01      -0.66786E+00
      0      1      -0.11843E+01       0.38974E-02       0.39157E+00      -0.79589E+00       0.18329E+00       0.21790E+01
      0      1      -0.92523E+00       0.30851E-03       0.68040E-01      -0.30591E+01       0.24623E+00       0.65922E+00
      0      1       0.64021E+00      -0.32484E-03       0.13727E+00      -0.48943E+01       0.14972E+00       0.12790E+01
      0      1       0.10535E+01      -0.48445E-03       0.82190E-01       0.12722E+01       0.69703E-01      -0.43211E+00
      0      1       0.51726E+00      -0.19432E-02       0.44566E-01      -0.27331E+01      -0.18518E+00      -0.18017E+01
      0      1      -0.90238E+00       0.37743E-02       0.25007E+00       0.42035E+01      -0.23623E+00      -0.18844E+01
      0      1       0.11503E+00       0.30916E-02       0.36276E+00      -0.21523E+01      -0.10728E+00      -0.14180E+00
      0      1       0.15280E+01      -0.13563E-02       0.42910E-01       0.17194E+00       0.75636E-01       0.78661E-01
      0      1      -0.57065E+00       0.65981E-03      -0.97457E-01       0.48464E+01      -0.97554E-01      -0.26294E+01
      0      1       0.97122E+00      -0.28673E-02      -0.33910E+00      -0.17037E+01      -0.29456E+00      -0.57415E+00
      0      1       0.27131E+01      -0.27513E-02      -0.55429E-01      -0.53073E+01       0.13695E-01      -0.29085E+00
      0      1       0.20476E+00      -0.20358E-02      -0.12263E+00      -0.11345E+01      -0.44500E-01       0.25941E+01
      0      1      -0.66811E+00       0.48707E-03      -0.63295E-02      -0.51701E+00      -0.36366E+00      -0.17342E+01
      0      1       0.47932E-01      -0.61890E-03      -0.31119E+00       0.26842E+01      -0.92513E-01      -0.17652E+00
      0      1       0.86549E+00      -0.32526E-02      -0.27105E+00       0.23138E+00      -0.10114E+00      -0.33408E+00
      0      1      -0.19626E+00      -0.25072E-02      -0.30397E+00       0.23609E+01      -0.26216E+00      -0.15238E+01
      0      1       0.36613E+00       0.29925E-04       0.20465E+00      -0.44220E+01       0.13987E+00      -0.18636E+00
      0      1       0.40315E+00      -0.62276E-03       0.67039E-02       0.43382E-01      -0.22865E-01       0.21868E+01
      0      1       0.81566E+00       0.10250E-02       0.22837E+00      -0.50017E+01       0.17460E+00       0.21814E+01
      0      1      -0.31794E-01       0.29572E-02       0.40216E+00      -0.94399E+00       0.87703E-01      -0.30780E+00
      0      1       0.57015E+00      -0.20300E-02      -0.27716E+00       0.19604E+01      -0.66648E-01       0.24173E+01
      0      1      -0.12503E+01       0.41627E-02       0.23627E+00       0.22435E+01      -0.46089E-01       0.23243E+01
      0      1       0.21869E+01      -0.22396E-02      -0.83863E-01      -0.16705E+01      -0.11214E+00      -0.15558E+01
      0      1       0.72076E+00      -0.41380E-03       0.13011E+00      -0.22682E+01      -0.15758E+00       0.75019E+00
      0      1       0.83843E+00       0.98795E-03       0.17454E+00      -0.33659E+00      -0.15856E+00      -0.20662E+01
      0      1      -0.76329E+00       0.16290E-02      -0.54791E-02      -0.56445E+00       0.88030E-01       0.16765E+00
      0      1       0.10319E+01      -0.78497E-03      -0.29896E-01      -0.38194E+01       0.51998E-01      -0.17199E+01
      0      1       0.73258E+00      -0.10565E-02       0.11577E+00      -0.60507E+01       0.28029E+00       0.21624E+01
      0      1       0.29229E+01      -0.45643E-02      -0.23640E+00      -0.54297E+01       0.16966E+00      -0.60664E+00
      0      1      -0.12706E+01       0.27300E-02       0.56299E-01       0.40969E+01       0.24504E+00       0.23412E+01
      0      1       0.20322E+01      -0.33368E-02      -0.10141E+00      -0.43610E+01       0.16411E+00       0.34209E+00
