 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.12986E+01      -0.28871E-03      -0.25471E+01      -0.17536E+02       0.25841E+00       0.84026E+00
      0      1       0.13083E+01      -0.21210E-02      -0.70263E+00      -0.48389E+01      -0.71509E-02       0.26494E+00
      0      1      -0.19338E+00      -0.43012E-03       0.34249E+00       0.23624E+01      -0.23846E-01       0.76573E+00
      0      1      -0.78530E+00      -0.20289E-02       0.10759E+01       0.74074E+01      -0.22469E+00      -0.16289E+01
      0      1      -0.44986E+00      -0.46884E-03      -0.25026E+01      -0.17230E+02       0.14332E+00      -0.11116E+01
      0      1       0.58713E+00       0.15868E-02      -0.10493E+01      -0.72269E+01       0.14111E+00       0.86964E+00
      0      1       0.90265E+00      -0.73008E-03       0.24668E+01       0.16985E+02       0.23302E+00       0.14223E+01
      0      1      -0.13812E+01       0.79767E-03       0.14944E+00       0.10281E+01       0.14397E+00       0.84895E+00
      0      1       0.12439E+01      -0.24476E-02      -0.14720E+01      -0.10134E+02      -0.27389E+00      -0.16184E+01
      0      1       0.75294E-01       0.14574E-02      -0.28312E+01      -0.19495E+02      -0.55319E+00      -0.24877E+01
      0      1      -0.55134E+00       0.57192E-02      -0.27544E+00      -0.18945E+01      -0.10669E+00      -0.24350E+00
      0      1       0.32006E+00      -0.40207E-02       0.43076E+00       0.29655E+01       0.48312E+00       0.11223E+01
      0      1       0.51552E-01       0.13259E-02       0.20072E+01       0.13823E+02      -0.11914E+00      -0.11470E+01
      0      1      -0.38681E+00       0.70428E-03      -0.81275E+00      -0.55944E+01      -0.18502E+00      -0.15062E+01
      0      1       0.28785E+00       0.16048E-02      -0.21219E+01      -0.14608E+02       0.11661E+00      -0.64415E-04
      0      1       0.15525E+00      -0.53776E-03       0.19476E+01       0.13410E+02      -0.88445E+00      -0.28261E+01
      0      1       0.13358E+01       0.20051E-02      -0.18981E+01      -0.13068E+02      -0.59328E-02       0.43405E+00
      0      1      -0.28598E+00       0.22044E-02       0.28288E+01       0.19479E+02       0.61018E+00       0.16937E+01
      0      1       0.49561E-01      -0.12436E-03      -0.38467E+00      -0.26514E+01       0.42676E+00       0.11207E+01
      0      1       0.28406E+00      -0.29178E-02       0.17284E+01       0.11900E+02       0.80044E-01       0.11838E+01
      0      1      -0.58467E+00       0.45344E-03      -0.24670E+01      -0.16983E+02       0.97386E-01      -0.37579E+00
      0      1      -0.50114E+00       0.10005E-02       0.27246E+01       0.18760E+02      -0.68795E+00      -0.22527E+01
      0      1       0.73045E+00      -0.84319E-03       0.23775E+01       0.16368E+02      -0.97820E-01       0.11819E+01
      0      1      -0.58149E+00      -0.48822E-02      -0.23233E+01      -0.15995E+02      -0.15199E+00      -0.30999E+00
      0      1       0.61432E+00      -0.65618E-03       0.24656E+01       0.16973E+02       0.11951E+00       0.32625E+00
      0      1       0.85971E+00       0.12063E-02       0.22101E+01       0.15217E+02       0.48740E+00       0.59590E+00
      0      1       0.84044E+00      -0.40010E-02      -0.12823E+01      -0.88276E+01      -0.20721E+00      -0.49541E+00
      0      1       0.43711E+00       0.50409E-03      -0.25822E+01      -0.17778E+02       0.32671E+00       0.58706E+00
      0      1       0.21045E+00       0.24682E-02      -0.87884E+00      -0.60500E+01       0.79739E+00       0.30217E+01
      0      1       0.70561E+00      -0.58838E-02       0.34500E+00       0.23771E+01      -0.13441E-01      -0.19349E+00
      0      1       0.64982E+00      -0.33117E-02       0.24195E+01       0.16655E+02      -0.85354E-01       0.12188E+00
      0      1      -0.79362E+00       0.19865E-02       0.28532E+01       0.19644E+02       0.24578E+00       0.11750E+01
      0      1       0.77980E+00       0.11806E-02      -0.15573E+01      -0.10726E+02      -0.23029E-02       0.94430E+00
      0      1       0.88850E+00      -0.16149E-02       0.85399E+00       0.58815E+01       0.15220E+00      -0.45291E+00
      0      1       0.83751E-01      -0.91829E-03       0.93356E+00       0.64304E+01       0.37306E+00       0.83301E+00
      0      1       0.98056E+00       0.37305E-02      -0.11992E+01      -0.82567E+01      -0.43899E-01      -0.68074E+00
      0      1      -0.83387E+00       0.36212E-02      -0.37184E-01      -0.25458E+00       0.39764E+00       0.18303E+01
      0      1       0.40036E+00       0.42862E-02      -0.21627E+01      -0.14889E+02       0.10674E+00       0.30665E+00
      0      1       0.10512E+01      -0.12103E-02      -0.23134E+01      -0.15926E+02       0.18914E+00       0.15320E+00
      0      1      -0.57301E-02       0.25520E-02      -0.21927E+01      -0.15095E+02       0.66682E+00       0.26192E+01
      0      1       0.11855E+01      -0.10322E-02      -0.34279E+00      -0.23579E+01       0.41767E+00       0.15283E+01
      0      1      -0.47357E-02       0.18053E-02       0.30719E-01       0.21420E+00      -0.77864E-01       0.61743E+00
      0      1      -0.11123E+00       0.47410E-02      -0.97396E+00      -0.67088E+01       0.40813E-01       0.43236E+00
      0      1      -0.54997E+00       0.77963E-03      -0.17434E+01      -0.11999E+02      -0.14851E+00       0.14687E+00
      0      1       0.57251E+00       0.23691E-03      -0.74348E+00      -0.51201E+01      -0.39657E+00      -0.19643E+01
      0      1       0.56967E+00       0.47065E-02      -0.13857E+01      -0.95407E+01       0.34223E+00       0.68239E+00
      0      1       0.95906E+00       0.15892E-02       0.25492E+00       0.17537E+01      -0.41593E+00      -0.11463E+01
